coverage,k,risk
0.1,88,0.125
0.15000000000000002,133,0.15789473684210525
0.2,177,0.1638418079096045
0.25,221,0.15384615384615385
0.30000000000000004,266,0.15413533834586465
0.35,310,0.16129032258064516
0.4,354,0.1553672316384181
0.45000000000000007,399,0.16040100250626566
0.5,443,0.1489841986455982
0.55,487,0.14168377823408623
0.6,532,0.13533834586466165
0.65,576,0.1388888888888889
0.7000000000000001,620,0.14193548387096774
0.75,665,0.1368421052631579
0.8,709,0.13540197461212977
0.85,753,0.13147410358565736
0.9,798,0.13157894736842105
0.9500000000000001,842,0.1330166270783848
1,887,0.13416009019165728
